,class,problem,code,answer
278,8,사각형의 가장자리 길이는 5.88m입니다. 이 사각형은 몇 평방 미터입니까?,"a = 5.88
y = a ** 2
print(y)",34.57
520,8,페플림 기둥은 가운데 지름이 크고 위아래로 점차 작아지는 나무 기둥입니다. 배나무 모양의 기둥의 단면이 원형인 경우 직경 70cm의 부품의 원주는 얼마입니까? (원주:3.1),"a = 70
b = 3.1
y = a * b
print(y)",217
1586,6,실수로 5.91을 숫자에 추가하여 10.55를 얻었습니다. 올바른 계산 값은 무엇입니까?,"a = 20.55
b = 5.91
c = a - b
y = c - b
print(y)",8.73
2719,8,길이 60cm의 와이어를 구부려 정육각형을 형성하는 경우 각 변의 길이는 몇 cm입니까?,"a = 60
b = 6
y = a / b
print(y)",10
433,4,156의 어느 배수가 1500에 가장 가까운가?,"a = 156
b = 1500
c = a * (b // a)
d = a + c
y = c if min(b - c, abs(b - d)) == (b - c) else d
print(y)",1560
246,6,윤기는 2자리 숫자에서 4자리 숫자를 빼고 싶다. 윤기는 4자리 1자리 6을 9로 오해했고 2자리 10자리와 1자리를 23으로 바꿨다. 광택 차이가 2456이면 올바른 계산 결과를 찾습니다.,"a = 6
b = 9
c = 23
d = 2456
e = d + c - b + a
f = (c % 10) * 10 + (c // 10)
y = e - f
print(y)",2444
437,1,"주스가 가득 들어간 병의 무게는 5/4kg입니다. 주스의 절반을 마신 후, 정일은 그것을 칭하고 13/15kg이라는 것을 발견했다. 빈 병의 무게는 몇 kg입니까?","a = 5 / 4
b = 13 / 15
y = (b * 2 - a) 
print(y)",0.48
259,4,"20, 5, 45 숫자 중 가장 큰 숫자를 가장 작은 숫자로 나눈 몫은 무엇입니까?","a = [20, 5, 45]
y = max(a) // min(a)
print(y)",9
2655,8,한 변의 길이가 20cm인 정사각형의 각 변의 중앙에서 그려진 마름모꼴 영역을 찾습니다.,"a = 20
y = a * a / 2
print(y)",200
2412,1,"지난 시즌 야구선수는 600타석으로 175안타를 냈다. 이번 시즌에 400인 좌석이 있는 지난 시즌보다 더 좋은 타율을 얻기 위해 몇 번 히트해야 하는지 알아보세요. (단, 타율은 총 타수에 대한 타수의 비율입니다.)","from math import ceil

a = 600
b = 175
c = 400
y = ceil(b / a * c)
print(y)",117
1652,1,사탕을 300g 먹으면 지방을 20g 먹는 것과 같습니다. 이 사탕을 540g 먹으면 몇 그램의 지방을 먹을까요?,"a = 300
b = 20
c = 540
y = (b / a) * c
print(y)",36
1849,6,실수로 6으로 나눈 15가 되었습니다. 얼마나 정확하게 계산합니까?,"a = 5
b = 6
c = 15
y = (c * b) / a
print(y)",18
1326,8,네 변의 합계가 90cm이고 직사각형의 길이가 17cm이면 길이는 cm로 무엇입니까?,"a = 90
b = 17
y = (a - b * 2) / 2
print(y)",28
1736,1,9대의 2대의 자전거와 5대의 3륜차의 바퀴 수의 합계를 구합니다.,"a = 2
b = 9
c = 3
d = 5
y = (a * b) + (c * d)
print(y)",33
1279,8,"너비 60센티미터, 길이 40센티미터, 너비 5센티미터, 길이 4센티미터의 색종이를 자르고 카드를 만들면 몇 장 만들 수 있나요?","a = 60
b = 40
c = 5
d = 4
y = (a // c) * (b // d)
print(y)",120
2543,3,"번호 카드 2, 1, 5, 9, 8, 7 중에서 각 카드를 한 번 사용하여 만들 수 있는 최소 번호를 찾습니다.","a = [2, 1, 5, 9, 8, 7]
a.sort()
b = list(map(str, a))
y = """".join(b)
print(y)",125789
1889,1,반지가 들어갈 때마다 5점을 얻고 실패할 때마다 2점을 잃는다고 합니다. Sol-i는 총 10회 던지고 7회 성공하여 링을 매달았다. 그렇다면 Sol-i에는 몇 가지 포인트가 있습니까?,"a = 5
b = 2
c = 10
d = 7
y = (a * d) - (b * (c - d))
print(y)",29
1430,8,4변의 길이의 합계가 40 cm인 정사각형의 1변의 길이를 cm로 구합니다.,"a = 40
b = 4
y = a / b
print(y)",10
103,1,"철민은 8개의 과자를 먹고, 정윤은 철민이 먹은 과자의 7배량을 먹었다. 정윤이 먹은 쿠키의 수에 대한 대답을 찾아보세요.","a = 8
b = 7
y = a * b
print(y)",56
2644,3,"0, 3, 8, 9 숫자 카드가 4장 있습니다. 3장을 선택해 최대와 최소의 숫자의 합계를 구해, 1회만 사용해 3자리의 숫자를 만듭니다.","from itertools import permutations

a = ['0', '3', '8', '9']
b = 3
c = list(map(''.join, permutations(a, b)))
d = max(c)
if '0' in a:
    while True:
        e = min(c)
        if e[0] == '0':
            c.remove(e)
        else:
            break
y = int(d) + int(e)
print(y)",1291
657,1,21개의 구슬을 3장의 플레이트에 균등하게 넣습니다. 한 접시에 얼마나 많은 구슬이 들어가는지 확인하십시오.,"a = 21
b = 3
y = a // b
print(y)",7
1712,4,"수천에 4, 수백에 7, 수십에 3, 1에 5의 4자리 숫자를 찾습니다.","a = 4
b = 7
c = 3
d = 5
y = (a * 1000) + (b * 100) + (c * 10) + (d * 1)
print(y)",4735
459,1,6명에게 37장씩 5장씩 선물합니다. 모두 배부한 후 스티커는 몇 장 남아 있나요?,"a = 37
b = 6
c = 5
y = a - b * c
print(y)",7
1676,8,"폭 6cm, 길이 10cm의 직사각형 종이를 한 번 잘라 최대 사각형으로 만들었습니다. 이 경우 정사각형을 만들고 나머지 직사각형의 네면의 길이의 합을 구합니다.","a = 6
b = 10
c = 4
y = ((b - a) + a) * 2
print(y)",20
2405,5,다음 공식 50*3 = 5*A가 있습니다. 이것을 만족하는 A를 찾습니다.,"a = 50
b = 3
c = 5
y = a * b / c
print(y)",30
235,1,15명의 여학생이 5명의 그룹을 만들고 28명의 남학생이 각각 4명의 그룹을 만들었습니다. 전부 몇 그룹이 있나요?,"a = 15
b = 5
c = 28
d = 4
y = a // b + c // d
print(y)",10
1160,1,40개의 계란이 있으며 각각 31개의 계란이 포함되어 있습니다. 전부에 얼마나 많은 알이 있습니까?,"a = 31
b = 40
y = a * b
print(y)",1240
1644,1,총 5팀이 참가하는 쇼트트랙 레이스에서 연철 팀이 먼저 오면 영철 팀 뒤에 합계로 몇 팀이 있나요?,"a = 5
b = 1
y = a - b
print(y)",4
518,3,1에서 9까지의 숫자가 수식 42<6*A를 만족하는 숫자는 얼마입니까?,"a = 1
b = 9
c = 42
d = 6
y = 0
for i in range(a, b + 1):
    if i > c / d:
        y += 1
print(y)",2
85,7,"팬이 1555개, 전기 모기장이 1222개, 모기장이 1666개인 경우 팬이 가장 많은 것은 전기 모기장이나 모기장 중 하나입니까?","a = 1555
b = 1222
c = 1666
dicts = {'부채': a, '전기 모기향': b, '모기장': c}
y = max(dicts, key=dicts.get)
print(y)",모기장
2714,1,여자 100m 허들 대회에서는 스타트 라인에서 1300cm에 첫 번째 허들이 배치되고 850cm 간격으로 총 10개의 허들이 배치됩니다. 출발선에서 6개의 장애물까지 몇 센티미터 이동했습니까?,"a = 1300
b = 10
c = 850
d = 6
y = a + c * (d - 1)
print(y)",5550
1108,8,"너비 50cm, 길이 20cm의 스케치북을 잘라내어 너비 5cm, 길이 2cm의 직사각형 퍼즐을 만들면 최대한 몇 조각을 만들 수 있습니까?","a = 50
b = 20
c = 5
d = 2
y = (a//c) * (b//d)
print(y)",100
2589,8,정삼각형의 가장자리 길이는 3cm입니다. 이 정삼각형의 원주는 센티미터로 무엇입니까?,"a = 3
b = 3
y = a * b
print(y)",9
1732,3,"넘버 카드는 1, 5, 6, 8의 4장입니다. 이 넘버 카드를 1회만 사용해, 2자리의 숫자를 2장 만들었습니다. 두 숫자를 나눌 때 가장 큰 몫을 찾습니다.","from itertools import permutations

a = ['1', '5', '6', '8']
b = int(max(map(''.join, permutations(a, 2))))
c = int(min(map(''.join, permutations(a, 2))))
y = b // c

print(y)",5
1303,3,다음 방정식 800-A<123+456에서 최소 수를 찾습니다.,"a = 800
b = 123
c = 456
y = a - (b + c) + 1
print(y)",222
1381,8,"하단이 10cm, 높이가 3cm인 삼각형 영역을 찾습니다.","a = 10
b = 3
y = a * b / 2
print(y)",20
660,7,"차는 5시간에 330km, 버스는 4시간에 230km를 운행합니다. 자동차와 버스 중 어느 것이 빠릅니까?","a = 5
b = 330
c = 4
d = 230
dicts = {""자동차"": b / a, ""버스"": d / c}
y = max(dicts, key=dicts.get)
print(y)",자동차
2108,1,14.24kg의 밥을 3주간 균등하게 먹었습니다. 하루에 몇 kg의 쌀을 먹는지 확인하십시오.,"a = 14.24
b = 21
y = a / b
print(y)",0.68
2084,8,가장자리 길이가 12.89cm이고 동일한 원주를 가진 일반 구의 마름모꼴 가장자리 길이를 찾습니다.,"a = 4
b = 9
c = 12.89
y = c * a / b
print(y)",5.73
2040,8,"첨성대의 높이는 12.4미터, 토대의 직경은 5.17미터로, 362개의 돌을 27층 겹친 것입니다. 첨성대의 높이는 바닥 직경의 몇 배입니까?","a = 12.4
b = 5.17
y = a/b
print(y)",2.40
627,7,유종의 줄넘기 길이는 1m 55cm입니다. 진희의 밧줄 점프 길이가 147㎝라면 누구의 점프가 길까요?,"a = (100 * 1) + 55
b = 147
dicts = {'유정': a, '진희': b}
y = max(dicts, key=dicts.get)
print(y)",유정
408,3,다음 공식 60*A<33*11을 만족하는 1에서 9까지의 숫자는 얼마입니까?,"a = 1
b = 9
c = 60
d = 33 * 11
y = 0
for i in range(a, b + 1):
    if i < d / c:
        y += 1
print(y)",6
2591,7,"숍 A에는 17개들이의 박스가 5개, 숍 B에는 18개들이의 박스가 4개 있습니다. 더 많은 사과가있는 가게를 찾으십시오.","a = 17 * 5
b = 18 * 4
dicts = {'A': a, 'B': b}
y = max(dicts, key = dicts.get)
print(y)",A
767,3,"번호 카드 8, 1, 7을 한 번만 사용하여 3자리 숫자를 만듭니다. 당신이 만들 수있는 최소 수는 무엇입니까?","from itertools import permutations

a = ['8', '1', '7']
y = int(min(map(''.join, permutations(a, 3))))
print(y)",178
5,7,"현수 집에서 미용실, 병원, 백화점까지의 거리는 각각 4/5km, 1/3km, 0.9km입니다. 현수 집에 가장 가까운 곳은 어디입니까?","a = 4 / 5
b = 1 / 3
c = 0.9
dicts = {'미용실': a, '병원': b, '백화점': c}
y = min(dicts, key=dicts.get)
print(y)",병원
2223,8,폭 50cm와 길이 60cm의 직사각형의 2변의 길이의 차이는 무엇입니까?,"a = 50
b = 60
y = abs(a - b)
print(y)",10
1576,7,"10과 2개의 개별 번호의 3개 세트, 10과 4개의 개별 번호의 3개 세트 중 큰 쪽을 적어 둡니다.","a = 10 * 3 + 2
b = 10 * 3 + 4
y = max(a, b)
print(y)",34
1300,5,"수지는 매일 150밀리리터의 우유를 4일 동안 마셨고, 철수는 수지가 마신 우유의 3배 이상 200밀리리터를 마셨다. 영희가 12일간 매일 950밀리리터의 우유를 마신다면 영희는 수지나 철수보다 몇 밀리리터 더 많이 마셨을까?","a = 150
b = 4
c = 3
d = 200
e = 950
f = 12
y = (e * f) - (a * b + (a * b * c + d))
print(y)",8800
2532,8,135cm의 와이어가 모두 남아 있거나 겹치지 않는 원의 면적은 몇 센티미터²입니까? (원주:3.14),"a = 135
b = 3.14
c = 2
d = a / (b * c)
y = b * d * d
print(y)",1451.04
1089,1,붉은 구슬 40개와 노란 구슬 40개를 섞어 색에 관계없이 8명에게 균등하게 나누어 보세요. 각 사람이 얼마나 많은 구슬을 가질 수 있습니까?,"a = 40
b = 40
c = a + b
y = c // 8
print(y)",10
1578,8,주변 160m의 사각형 정원이 있습니다. 이 정원은 몇 평방 미터입니까?,"a = 160
b = 4
c = a / b
y = c * c
print(y)",1600
2258,7,소진이 전체 0.8을 공유하고 창석이 전체 0.7을 공유하면 누가 더 많은 실을 갖고 있는가?,"dicts = {""소진"": 0.8, ""창석"": 0.7}
y = max(dicts, key=dicts.get)
print(y)",소진
374,7,"민수는 유아 신장을 152㎝에서 155㎝, 정수는 150㎝로 추정했다. 두 가운데 어느 쪽이 가까운지를 찾습니다.","a = 152
b = 155
c = 150
dicts = {'민수': abs(a - b), '중수': abs(a - c)}
y = min(dicts, key=dicts.get)
print(y)",중수
2712,7,"A는 한 변의 길이가 4cm인 보통 십각형, B는 폭 5cm, 길이 7cm의 직사각형, C는 한 변의 길이가 12cm인 정사각형입니다. 둘레가 가장 긴 모양을 찾습니다.","a = 4
b = 10
c = 5
d = 7
e = 12
f = 4
dict = {'A': a * b, 'B': 2 * (c + d), 'C': e * f}
y = max(dict, key=dict.get)
print(y)",C
123,1,한 상자에 500개의 클립이 있는 경우 14개 상자 모두에 몇 개의 클립이 있나요?,"a = 500
b = 14
y = a * b
print(y)",7000
957,1,"매장에서 쌀가루를 3,420원에 샀다. 1,000원짜리 지폐는 몇 개 구입할 수 있나요?","from math import ceil

a = 3420
b = 1000
y = ceil(a / b)
print(y)",4
2798,8,당신은 49cm의 정사각형 면적을 가진 정사각형을 가지고 있습니다. 이 사각형의 일각 길이는 몇 센티미터입니까?,"a = 49
y = a ** 0.5
print(y)",7
1159,4,"53333, 60022의 두 숫자가 있습니다. 두 배의 큰 숫자를 찾으십시오.","a = [53333, 60022]
y = max(a)
print(y)",60022
1541,8,"주위가 76cm, 폭이 12cm인 직사각형이 있습니다. 이 사각형은 몇 센티미터입니까?","a = 4
b = 76
c = 12
y = b / 2 - c
print(y)",26
2381,1,존훈이 측정한 와이어의 길이는 다라의 오른손 4스팬이었다. 오른손 스팬이 13cm이면 와이어의 길이는 얼마입니까?,"a = 4
b = 13
y = b * a
print(y)",52
2595,1,토끼와 사슴은 각각 4개의 다리를 가지고 있다. 토끼와 사슴발의 수를 세면서 총 40마리였다. 토끼가 두 마리 있다면 사슴은 몇 마리입니까?,"a =4
b = 4
c = 2
y = (40 - b * c) // a
print(y)",8
1470,8,가장자리가 1.7m인 정사각형 면적은 몇 평방 미터입니까?,"a = 1.7
y = a * a
print(y)",2.89
662,8,반경 4cm(cm)의 원의 원주를 구합니다. 원주는 3으로 계산됩니다.,"a = 4
b = 3
y = a * b * 2
print(y)",24
2303,3,"번호 카드 1, 2, 3, 4, 5, 6, 7, 8을 한 번에 사용하여 최소 번호를 만듭니다.","a = [2, 4, 5, 6, 9, 1, 7, 8]
a.sort()
b = list(map(str, a))
y = """".join(b)
print(y)",12456789
312,3,"3, 5, 1, 8, 9 숫자가 있습니다. 세 개의 숫자를 한 번만 사용하여 세 자리 숫자를 만들고 싶습니다. 가능한 최대 수와 최소 수의 합을 구합니다.","from itertools import permutations

a = ['3', '5', '1', '8', '9']
b = 3
c = list(map(''.join, permutations(a, b)))
d = int(max(c))
e = int(min(c))
y = d + e
print(y)",1120
2044,7,"탱크를 채우기 위해 탱크를 컵 A, B, C에 각각 7, 5, 8회 채워야 하는 경우, 어느 컵 A, B 또는 C가 물을 섭취하는지 적은 양 ?","a = 7
b = 5
c = 8
dict = {'A': 1/a, 'B': 1/b,'C': 1/c}
y = min(dict, key=dict.get)
print(y)",C
390,8,부피가 1600입방센티미터인 직육면체는 각 층에 부피가 1입방센티미터인 32개의 적층된 나무를 쌓아서 만들었다. 이 직육면체는 얼마나 쌓여 있는가?,"a = 1600
b = 32
y = a // b
print(y)",50
736,1,길현이 3.91km 달리고 시현이 길현보다 200m 달렸다면 시현은 합계로 몇 미터 달렸을까.,"a = 3.91 * 1000
b = 200
y = a - b
print(y)",3710
1380,8,"폭 15cm, 길이 10cm의 직사각형을 4개 묶어서 만든 직사각형의 4변의 길이의 합계는?","a = 15
b = 10
c = 4
y = (a * c * 2) + (b * 2)
print(y)",140
2446,4,최소에서 최대까지 9의 배수를 쓸 때 15번째 숫자는 무엇입니까?,"a = 9
b = 15
y = a
for _ in range(1, b):
      y += a
print(y)",135
2294,1,"차가 1km를 달리려면 0.12 리터 휘발유가 필요합니다. 이 차가 일정 속도로 1시간에 88km를 달리는 경우, 3시간에 주행하기 위해 몇 리터의 휘발유가 소모됩니까?","a = 1
b = 0.12
c = 1
d = 88
e = 3
y = (b/a) * (d/c) * e
print(y)",31.679999999999996
2427,1,"길이 5m 15cm, 길이 2m 17cm의 2색 테이프가 있습니다. 두 개의 테이프가 168cm 겹치면 색상이 지정된 테이프의 전체 길이를 센티미터로 구합니다.","a = 5 * 100 + 15
b = 2 * 100 + 17
c = 168
y = (a + b) - c
print(y)",564
2161,1,떨어지는 높이의 0.5배 높이로 튀는 공이 있습니다. 공이 떨어지면 7.8m 튀어 나오면 볼이 어느 높이에서 떨어지는가?,"a = 0.5
b = 7.8
y = b / a
print(y)",15.60
2230,7,"Jaeseungi에는 12개의 모자가 있습니다. 명준은 재승보다 모자가 10개 적고, 하경은 명준보다 11개 많다. 가장 모자를 쓰고 있는 사람의 이름을 적는다.","a = 12
b = 10
c = 11
dicts = {'재승': a, '명준': a - b, '하경': a - b + c}
y = max(dicts, key=dicts.get)
print(y)",하경
2690,7,승연이 230100원의 동전을 모으고 성균이 48050원의 동전을 모았다면 합계가 많은 것은 누구인가?,"a = 100
b = 230
c = 50
d = 480
dict = {'순영': a * b, '성균': c * d}
y = max(dict, key=dict.get)
print(y)",성균
317,1,10리터 주스의 병은 3명이 고르게 공유되었고 1리터 주스가 남아 있었다. 한 사람은 몇 리터의 주스를 마셨습니까?,"a = 10
b = 3
c = 1
y = (a - c) / b
print(y)",0.70
1499,1,56+302를 계산합니다.,"a = 56
b = 302
y = a + b
print(y)",358
864,8,"삼각형의 바닥은 15cm, 높이는 6cm입니다. 이 삼각형의 영역을 찾습니다.","a = 15
b = 6
y = a * b / 2
print(y)",45
403,5,두 개의 숫자 A와 B의 합은 12이고 차이는 4입니다. 두 개의 A와 B의 곱을 구합니다.,"a = 12
b = 4
y = ((a + b) / 2) * (a - (a + b) / 2)
print(y)",32
1190,8,원 A의 직경은 88cm이고 원 B의 직경은 원 A의 반경과 같습니다. 두 원의 반경 센티미터의 차이를 찾습니다.,"a = 88
b = a / 2
y = a / 2 - b / 2
print(y)",22
289,8,"윤서가 그린 그림은 폭 19/26m, 높이 4/15m입니다. 폭과 길이의 차이를 소수점 이하 2 자리수로 나타냅니다.","a = 19 / 26
b = 4 / 15
y = abs(a - b)
print(""{:.2f}"".format(y))",0.46
2101,1,"성미는 집에서 이모의 집까지 도보 2130m, 버스 7km800m. 성미는 이모의 집까지 몇 미터 옮겼는가?","a = 2130
b = 7 * 1000 + 800
y = a + b
print(y)",9930
1979,1,한 팀이 6명의 플레이어로 배구를 한다. 4 팀이 플레이하는 경우 몇 명의 플레이어가 배구를 플레이하고 있습니까?,"a = 6
b = 4
y = a * b
print(y)",24
1587,6,88에서 숫자를 빼고 50을 더하고 115를 얻으려면 88에 숫자를 추가해야합니다. 얼마나 정확하게 계산합니까?,"a = 88
b = 50
c = 115
y = a - (c - a) + b
print(y)",111
2669,1,4개의 상자에서 36개의 초콜릿을 균등하게 공유하려고 합니다. 상자에 넣을 수 있는 초콜릿의 수는 얼마입니까?,"a = 36
b = 4
y = a // b
print(y)",9
1008,5,곱셈식 21*4=28*A를 만족하는 A를 찾습니다.,"a = 21
b = 4
c = 28
y = (a * b) / c
print(y)",3
2552,6,"수치에 20을 더할 필요가 있었지만, 실수로 감산해 99가 되었습니다. 올바르게 계산하십시오.","a = 20
b = 99
y = b + a + a
print(y)",139
1709,8,정사각형의 가장자리 길이는 2cm입니다. 이 사각형 주위를 찾습니다.,"a = 2
b = 4
y = a * b
print(y)",8
359,5,숫자를 7로 나누면 몫은 3이 됩니다. 이게 뭐야?,"a = 7
b = 3
y = a * b
print(y)",21
1267,1,현수그룹이 156회 복근운동을 했고 수진그룹이 현수그룹보다 30회 적은 복근운동을 했다면 수진그룹은 몇번 복근운동을 했는가?,"a = 156
b = 30
y = a - b
print(y)",126
1859,8,"폭의 3배인 직사각형의 길이가 3.97m인 경우, 평방 미터에서 소수점 이하 2자리까지의 면적을 구합니다.","a = 3
b = 4
c = 3.97
y = c * (c * a)
print(""{:.2f}"".format(y))",47.28
1945,1,아이스크림 50개를 620원에 사고 싶습니다. 필요한 금액을 확인하십시오.,"a = 620
b = 50
y = a * b
print(y)",31000
582,3,"번호 카드 2, 5, 6, 8이 있습니다. 그 중에서 3개의 다른 숫자를 선택할 수 있는 최소 3자리 숫자를 적는다.","from itertools import permutations

a = ['2', '5', '6', '8']
b = 3
c = list(map(''.join, permutations(a, b)))
c.sort()
for i in c:
    if i[0] != '0':
        y = i
        break
print(y)",256
2439,8,정사각형의 측면은 12cm입니다. 이 정사각형의 네 변의 길이의 합계를 구합니다.,"a = 12
b = 4
y = a * b
print(y)",48
1341,3,"번호 카드 1, 3, 5, 7, 9 중 모든 번호 카드를 한 번만 사용하는 경우 만들 수 있는 최대 숫자는 얼마입니까?","a = [1, 3, 5, 7, 9]
a.sort(reverse=True)
b = list(map(str, a))
y = """".join(b)
print(y)",97531
693,8,"폭 5m, 길이 400cm의 직사각형이 있습니다. 이 사각형의 면적과 밑변이 10m, 높이가 3m(cm²)인 삼각형의 차이는 무엇입니까?","a = 5 * 100
b = 400
c = 10 * 100
d = 3 * 100
y = abs(a * b - c * d / 2)
print(y)",50000
1970,4,12/15 x 2/5 미만의 수의 분모가 15이면 분모와 분자의 합을 구합니다.,"a = 12/15
b = 2/5
c = a - b
d = 15
e = c * d
y = d + e
print(y)",21
1545,1,35÷7+(6+8)×3을 계산합니다.,"y = 35 / 7 + (6 + 8) * 3
print(y)",47
1180,5,"다음 방정식이 있습니다: 88/A=11, 72/A=B. 이것을 만족하는 A와 B의 합계를 구합니다.","a = 88
b = 11
c = 72
y = (a / b) + c / (a / b)
print(y)",17
1607,8,"폭 22cm, 원주 56cm의 직사각형이 있습니다. 이 직사각형의 cm² 단위의 면적을 찾습니다.","a = 22
b = 56
y = a * ((b - 2 * a) / 2)
print(y)",132
887,3,"4장의 숫자 카드 8, 2, 3, 4가 있습니다. 이를 사용하여 만든 두 자리 숫자를 두 개 곱할 때 최소 곱을 계산합니다.","from itertools import permutations

a = ['8', '2', '3', '4']
b = list(map(''.join, permutations(a)))
c = []
for i in b:
    d = int(i[:2])
    e = int(i[2:])
    c.append(d * e)
y = min(c)
print(y)",912
2362,8,99cm 길이의 실을 사용하여 최대 정사각형을 만듭니다. 나머지는 몇 센티미터입니까? (그러나 실의 길이는 항상 자연 센티미터입니다.),"a = 99
b = 4
c = a // b
y = a - (b * c)
print(y)",3
113,8,"폭 13cm, 길이 15cm의 직사각형이 있습니다. 이 직사각형의 면적은 센티미터²로 무엇입니까?","a = 13
b = 15
y = a * b
print(y)",195
167,1,"Dahee는 150페이지의 만화책을 하루 15페이지, 7일 동안 읽었습니다. 전체 만화를 읽으려면 몇 페이지를 읽어야 합니까?","a = 150
b = 15
c = 7
y = a - b * c
print(y)",45
2057,8,정사각형의 측면 길이는 13cm입니다. 이 사각형 주위의 길이는 cm입니까?,"a = 13
b = 4
y = a * b
print(y)",52
2806,8,둘레 길이가 60센티미터인 정육각형과 둘레 길이가 55센티미터인 정5각형의 한쪽 길이의 차이를 씁니다.,"a = 60
b = 6
c = 55
d = 5
y = abs(a / b - c / d)
print(y)",1
1361,1,"기름진 사람은 11/25 리터의 우유를 마셨고, 용표는 0.60 리터를 마셨다. 두 사람이 마신 우유의 양은 몇 리터 차입니까?","a = 11/25
b = 0.60
y = abs(a - b)
print(y)",0.16
2075,1,파의 1랩은 32개입니다. 파의 뭉치를 말린 랙의 8개의 모서리로 나누어 균등하게 넣습니다. 하나의 건조 랙에 넣을 파의 수를 확인합니다.,"a = 32
b = 8
y = a / b
print(y)",4
61,1,오늘은 Suhyo's Bakery에서 500개의 크림빵을 만들었습니다. 이 모든 크림 빵을 25개까지 보관할 수 있는 상자에 넣으려면 몇 상자가 필요합니까?,"import math
a = 500
b = 25
y = math.ceil(a / b)
print(y)",19
691,8,"폭 8cm, 높이 15cm의 직사각형 센티미터의 차이는 무엇입니까?","a = 8
b = 15
y = abs(b - a)
print(y)",7
2023,4,"6리터, 6리터, 600밀리리터, 6050밀리리터가 있습니다. 밀리리터 단위의 최대 부피와 최소 부피의 합은 무엇입니까?","a = [6000, 6600, 6050]
y = max(a) + min(a)
print(y)",12600
1933,8,너비의 6배인 직사각형 길이가 0.23m인 경우 소수점 이하 2자리까지의 면적은 몇 평방 미터입니까?,"a = 6
b = 4
c = 0.23
y = c * (c * a)
print(""{:.2f}"".format(y))",0.32
2366,4,"번호 카드 54, 23, 67, 3이 있는 경우 최대 수를 최소 수로 나눈 나머지를 구합니다.","a = [54, 23, 67, 3]
y = max(a) % min(a)
print(y)",1
1436,8,가장자리가 17cm 인 다이아몬드 모양의 원주를 찾습니다.,"a = 17
y = a * 4
print(y)",68
996,7,"영희는 사인펜 4개를 500원, 색연필 4개를 850원으로 구입했다. 펠트 펜의 총량과 색연필의 총량 중 어느 것이 많습니까?","a = 500
b = 4
c = 850
d = 4
dicts = {'사인펜': a * b, '색연필': c * d}
y = max(dicts, key=dicts.get)
print(y)",색연필
2178,8,49cm의 사각형 주위는 몇 센티미터입니까?,"a = 49
b = 4
y = a ** 0.5 * b
print(y)",28
1808,8,"폭 3cm, 길이 5cm의 직사각형과 4변이 같은 정사각형의 1변의 센티미터수를 구합니다.","a = 3
b = 5
c = 4
y = (a + b) * 2 / c
print(y)",4
2063,7,기수의 실 길이는 20cm의 네 줄의 길이와 같고 보라색 실의 길이는 90cm입니다. 두 실의 길이의 차이를 찾습니다.,"a = 20
b = 4
c = 90
y = abs(a * b - c)
print(y)",10
983,1,집에서 도서관까지의 거리가 55/23km이고 은행까지의 거리가 3.15km인 경우 은행은 도서관보다 집에서 얼마나 멀리 떨어져 있습니까?,"a = 55/23
b = 3.15
y = b - a
print(y)",0.76
1065,1,"승객을 태운 지하철이 목적지로 향하고 있다. 중앙역에서는 250명이 내리고 105명이 타고 목적지에서 150명이 내렸다면, 먼저 기차를 타고 있었던 몇 명입니까?","a = 250
b = 105
c = 150
y = c - b + a
print(y)",295
164,7,"마트는 여름 필수품을 판매합니다. 팬은 1560개, 전기 모기장은 1200개, 모기장은 1430개가 있습니다. 선풍기, 전기 모기장, 모기장 중 가장 많습니까?","a = 1560
b = 1200
c = 1430
dicts = {'부채': a, '전기 모기향': b, '모기장': c}
y = max(dicts, key=dicts.get)
print(y)",부채
2454,7,초콜릿 상점은 어제부터 오늘까지 900개의 초콜릿을 판매했습니다. 오늘 451개의 초콜릿이 판매된 경우 어제 또는 오늘 어느 날에 초콜릿이 더 판매되었는지 확인합니다.,"a = 900
b = 451
dicts = {""오늘"": b, ""어제"": a - b}
y = max(dicts, key=dicts.get)
print(y)",오늘
968,1,3.4보다 큰 7.2 수를 찾습니다.,"a = 3.4
b = 7.2
y = a + b
print(y)",10.60
550,8,"둘레가 56cm, 폭이 11cm인 직사각형이 있습니다. 이 사각형은 몇 센티미터입니까?","a = 4
b = 56
c = 11
y = b / 2 - c
print(y)",17
2580,6,숫자를 9로 나누려면 실수로 9를 더하면 90이 됩니다. 올바르게 계산하면 결과는 어떻게 됩니까?,"a = 9
b = 9
c = 90
y = (c - b) / a 
print(y)",9
2164,8,한 변의 길이가 12cm인 다이아몬드 주위를 찾습니다.,"a = 12
b = 4
y = a * b
print(y)",48
545,8,한 변의 길이가 8cm의 정사각형 종이 5장을 3cm 겹치도록 접착했습니다. 직사각형 종이의 네면 길이의 합은 얼마입니까?,"a = 8
b = 4
c = 5
d = 3
y = ((a * c) - (c - 1) * d + a) * 2
print(y)",72
1719,3,"번호 카드 1, 3, 5, 7, 9를 한 번만 사용하여 만들 수 있는 최소 5자리 숫자를 찾습니다.","a = [1, 3, 5, 7, 9]
a.sort()
b = list(map(str, a))
y = """".join(b)
print(y)",13579
1502,8,"폭 5cm, 원주 22cm의 직사각형이 있습니다. 이 직사각형의 cm² 단위의 면적을 찾습니다.","a = 5
b = 22
y = a * ((b - 2 * a) / 2)
print(y)",30
